y,x,class
5.6124681509646066e-46,5.6124681509646066e-46,no_correction
1.1004678129064761e-51,1.1004678129065233e-51,no_correction
1.1858263582281593e-39,1.1858263582280404e-39,no_correction
4.700717358072308e-42,4.7007173580726435e-42,no_correction
4.7456953709137175e-40,4.745695370914058e-40,no_correction
3.9581449594695143e-41,3.9581449594695143e-41,no_correction
3.469194866934204e-47,3.469194866934204e-47,no_correction
6.426932420859131e-36,6.426932420858856e-36,no_correction
1.4490220744989614e-43,1.4490220744990233e-43,no_correction
4.566749001392405e-39,4.566749001392732e-39,no_correction
3.8265277751129505e-48,3.8265277751129505e-48,no_correction
2.554319021833087e-39,2.5543190218330868e-39,no_correction
7.99405439420892e-49,7.994054394207549e-49,no_correction
4.2997726980384684e-38,4.2997726980383457e-38,no_correction
3.081107194142855e-46,3.0811071941427235e-46,no_correction
3.6376801073897877e-44,3.6376801073902547e-44,no_correction
1.902921272920887e-40,1.902921272920887e-40,no_correction
3.1965419518734076e-40,3.196541951873088e-40,no_correction
5.006575148520093e-46,5.006575148520093e-46,no_correction
2.0322213156448218e-40,2.0322213156445603e-40,no_correction
5.026632260324656e-41,5.026632260324656e-41,no_correction
5.525884479177144e-51,5.525884479178167e-51,no_correction
9.599728839448014e-40,9.599728839446642e-40,no_correction
3.788899897529519e-49,3.788899897530113e-49,no_correction
1.399493156146096e-41,1.3994931561462356e-41,no_correction
1.332976271516829e-47,1.332976271516715e-47,no_correction
2.5482208286323287e-38,2.5482208286326565e-38,no_correction
1.4469545372193953e-42,1.4469545372193332e-42,no_correction
2.666185155462623e-47,2.6661851554625083e-47,no_correction
4.618229103787993e-44,4.618229103788191e-44,no_correction
1.135083521109984e-44,1.1350835211098872e-44,no_correction
8.906508098808398e-46,8.906508098808017e-46,no_correction
1.847393977223661e-42,1.847393977223582e-42,no_correction
1.2887135537941868e-49,1.2887135537940033e-49,no_correction
1.1146245644535358e-38,1.1146245644536157e-38,no_correction
1.9491146014469116e-40,1.9491146014469675e-40,no_correction
1.651631302671433e-43,1.6516313026713623e-43,no_correction
6.069817777331838e-44,6.069817777332879e-44,no_correction
3.279824346960831e-43,3.2798243469605503e-43,no_correction
7.902686707392751e-39,7.902686707392978e-39,no_correction
